Facility Name,Address,Type of Facility,Direction,Postal Code,latitude,longitude
ActiveSG Gym @ Ang Mo Kio Community Centre,795 Ang Mo Kio Avenue 1 Singapore 569976,Gym,Northeast,569976,1.36951942637994,103.848462230319
ActiveSG Gym @ Enabling Village,20 Lengkok Bahru Singapore 159053,Gym,Central,159053,1.3322292265707,103.720201115434
ActiveSG Gym @ Fernvale Square,51A Sengkang West Avenue Singapore 797384,Gym,Northeast,797384,1.3322292265707,103.720201115434
ActiveSG Gym @ Serangoon Central,264 Serangoon Central Singapore 550264,Gym,Northeast,550264,1.37480173793635,103.847240067584
ActiveSG Gym @ Toa Payoh,127A Lorong 1 Toa Payoh Singapore 319899,Gym,Central,319899,1.33403623894465,103.850977706475
ActiveSG Gym @ Toa Payoh West Community Centre,200 Lorong 2 Toa Payoh Singapore 319642,Gym,Central,319642,1.33322099854642,103.852334195786
ActiveSG Hockey Village @ Boon Lay,88 Boon Lay Place Singapore 649883,N/A,West,649883,1.3322292265707,103.720201115434
ActiveSG Hockey Village @ Boon Lay Gym,88 Boon Lay Place Singapore 649883,Gym,West,649883,1.3322292265707,103.720201115434
ActiveSG Sport Village @ Jurong Town,2 International Road Singapore 619618,N/A,West,619618,1.3322292265707,103.720201115434
ActiveSG Sport Village @ Jurong Town - ActiveGroove Dance Zone,2 International Road Singapore 619618,N/A,West,619618,1.3322292265707,103.720201115434
Admiralty Primary School Field,11 Woodlands Circle Singapore 738907,Free To Play Field,North,738907,1.4426347903311,103.800040119743
Admiralty Primary School Hall,11 Woodlands Circle Singapore 738907,School Sport Hall,North,738907,1.4426347903311,103.800040119743
Ahmad Ibrahim Secondary School Hall,751 Yishun Avenue 7 Singapore 768928,School Sport Hall,North,768928,1.43315271543517,103.832942401086
Anderson Secondary School Field,10 Ang Mo Kio Street 53 Singapore 569206,School Field,North,569206,1.37434001701177,103.851554107068
Anderson Secondary School Hall,10 Ang Mo Kio Street 53 Singapore 569206,School Sport Hall,North,569206,1.37434001701177,103.851554107068
Ang Mo Kio Secondary School Field,6 Ang Mo Kio Street 22 Singapore 569362,School Field,North,569362,1.37434001701177,103.851554107068
Ang Mo Kio Secondary School Hall,6 Ang Mo Kio Street 22 Singapore 569362,School Sport Hall,North,569362,1.37434001701177,103.851554107068
Ang Mo Kio Swimming Complex,1771 Ang Mo Kio Avenue 1 Singapore 569978,Swimming Pool,Northeast,569978,1.36330227352571,103.849666751875
Anglo Chinese School (Barker Road) Hall,60 Barker Road Singapore 309919,School Sport Hall,Central,309919,1.31961649151328,103.835772689988
Anglo Chinese School (Primary) Hall,50 Barker Road Singapore 309918,School Sport Hall,Central,309918,1.31837054523521,103.835609732354
Angsana Primary School Hall,51 Tampines Street 61 Singapore 528565,School Sport Hall,East,528565,1.36360590588314,103.9389409004
Bartley Secondary School Field,10 Jalan Bunga Rampai Singapore 538403,School Field,Central,538403,1.33995415587811,103.882806211705
Beacon Primary School Hall,36 Bukit Panjang Ring Road Singapore 679944,School Sport Hall,West,679944,1.38394936211823,103.773632022975
Beatty Secondary School Field,1 Toa Payoh North Singapore 318990,School Field,Central,318990,1.341790284928,103.852280842345
Beatty Secondary School Hall,1 Toa Payoh North Singapore 318990,School Sport Hall,Central,318990,1.341790284928,103.852280842345
Bedok Green Primary School Hall,1 Bedok South Avenue 2 Singapore 469317,School Sport Hall,East,469317,1.39036998654612,103.887165375933
Bedok Green Secondary School Field,360 Bedok North Avenue 3 Singapore 469722,School Field,East,469722,1.33451947288431,103.935028383346
Bedok South Secondary School Field,1 Jalan Langgar Bedok Singapore 468585,School Field,East,468585,1.32344593287992,103.937878976352
Bedok South Secondary School Hall,1 Jalan Langgar Bedok Singapore 468585,School Sport Hall,East,468585,1.32344593287992,103.937878976352
Bedok Stadium,1 Bedok North Street 2 Singapore 469642,Stadium,East,469642,1.32609868101702,103.93881875464
Bendemeer Primary School Field,91 Bendemeer Road Singapore 339948,Free To Play Field,Central,339948,1.32181250780475,103.865404167629
Bendemeer Primary School Hall,91 Bendemeer Road Singapore 339948,School Sport Hall,Central,339948,1.32181250780475,103.865404167629
Bendemeer Secondary School Field,1 Saint Wilfred Road Singapore 327919,School Field,Central,327919,1.32181250780475,103.865404167629
Bendemeer Secondary School Hall,1 Saint Wilfred Road Singapore 327919,School Sport Hall,Central,327919,1.32181250780475,103.865404167629
Bishan ActiveSG Gym,5 Bishan Street 14 Singapore 579783,Gym,Northeast,579783,1.3322292265707,103.720201115434
Bishan Clubhouse,3 Bishan Street 14 Singapore 579780,N/A,Northeast,579780,1.35011694205963,103.849763180442
Bishan Sport Centre,5 Bishan Street 14 Singapore 579783,Sport Centre,Northeast,579783,1.35528263459438,103.850922068559
Bishan Sport Centre - ActiveGroove Dance Zone,5 Bishan Street 14 Singapore 579783,N/A,Northeast,579783,1.36517069591469,103.83629822663
Bishan Sport Hall,5 Bishan Street 14 Singapore 579783,Sport Hall,Northeast,579783,1.35550312686221,103.85100968145
