mall_name,address,latitude,longitude
100 AM,100 TRAS STREET 100 AM SINGAPORE 079027,1.274588218,103.8434707
313@SOMERSET,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895,1.301014364,103.8383607
321 CLEMENTI,321 CLEMENTI AVENUE 3 321 CLEMENTI SINGAPORE 129905,1.31200212,103.7649867
888 PLAZA,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,1.437123015,103.7953144
ADMIRALTY PLACE,679 WOODLANDS AVENUE 6 ADMIRALTY PLACE SINGAPORE 730679,1.439923451,103.8020153
ALEXANDRA CENTRAL,323 ALEXANDRA ROAD ALEXANDRA CENTRAL SINGAPORE 159972,1.287456124,103.8054147
ALEXANDRA RETAIL CENTRE,460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC) SINGAPORE 119963,1.274148936,103.8013994
AMK HUB,53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933,1.369389227,103.848478
ANCHORPOINT,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,1.28893478,103.8056078
APERIA,12 KALLANG AVENUE APERIA SINGAPORE 339511,1.309711207,103.8643264
BALESTIER HILL SHOPPING CENTRE,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,1.326163079,103.8437414
BEAUTY WORLD CENTRE,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,1.342412642,103.7765394
BEAUTY WORLD PLAZA,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176,1.341800186,103.7762594
BEDOK MALL,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,1.324736328,103.9292563
BOON LAY SHOPPING CENTRE,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221,1.346335525,103.7124304
BROADWAY PLAZA,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841,1.371937291,103.8459494
BUANGKOK SQUARE,991B BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 532991,1.383984774,103.8824863
