name,street_name,postal_code,block_number,longitude,latitude
7SEVEN PTE. LTD.,NORTH COAST AVENUE,756992,51,103.786436916899,1.45605972594988
ABEDIN TRADING PTE. LTD.,GEYLANG ROAD,389538,599,103.886699759329,1.31420654866153
AJMAL SUPER MART PTE. LTD.,TUAS SOUTH AVENUE 1,637285,70,103.625764663231,1.31396452002226
AJMAL TRADE MART PTE. LTD.,KRANJI ROAD,739522,12,103.759237297885,1.43069358938447
AJMAL TRADE MART PTE. LTD.,MANDAI ESTATE,729937,23,103.76056171553,1.40631204506347
AJMAL TRADING GROUP PTE. LTD.,JALAN PAPAN,619396,5,103.727480745718,1.32210836314021
AJMAL TRADING GROUP PTE. LTD.,WOODLANDS SECTOR 2,737723,2,103.809438952915,1.46152554782754
AL MARCHE PTE LTD,MARINA BOULEVARD,18987,2,103.852658565645,1.28076944309971
ALTERNATIVE SELECTION PTE. LTD.,BINJAI PARK,589831,29,103.786969223738,1.33661474902075
ANG KEN CHUA,CHOA CHU KANG AVENUE 3,680410,410,103.741520112804,1.38062798479668
ANG MO SUPERMARKET PTE LTD,PUNGGOL DRIVE,820639,639,103.916054504161,1.39946117297002
ANG MO SUPERMARKET PTE LTD,HOUGANG AVENUE 8,530642,642,103.879938988612,1.37170342503995
AP HOUSE PTE. LTD.,MARINA VIEW,18961,12,103.850795182002,1.27830730320321
ARCHANA PROVISION STORES PTE. LTD,PENJURU WALK,608538,27,103.732882480415,1.31923811377776
ARCHANA SUPERMARKET PTE. LTD.,JALAN PAPAN,619392,1,103.726722841969,1.32048426082957
AZ SUPERMART PTE. LTD.,KAKI BUKIT AVENUE 3,415920,21,103.909946665207,1.33809673913723
B & S MINI MART PTE. LTD.,GEYLANG ROAD,389349,310,103.87962231543,1.31245104539871
BALASUBRAMANIYAN KANNADASAN,KRANJI ROAD,739503,257,103.754008429832,1.43594535916514
BANGLADESH SUPER MARKET PTE. LTD.,SEMBAWANG ROAD,758498,1024,103.832526372151,1.45343693357051
BHANDARI INTERNATIONAL PTE. LTD.,WOODLANDS INDUSTRIAL PARK E5 (PART OF),757322,280,103.791095177079,1.45132505304739
BISMILLAH MINIMART PTE. LTD.,MANDAI ESTATE,729939,32,103.758094978446,1.40754324060913
BLUEWATER SEAFOOD PTE. LTD.,DEMPSEY ROAD,249672,8D,103.80938167216,1.30344597442988
CAVEMEN PTE. LTD.,JALAN DUSUN,329363,1,103.843674239785,1.32696540868721
CHD @ SOON LEE PTE. LTD.,SOON LEE ROAD,628088,51,103.699070270739,1.33212290136628
"CHEE MIN KUAN, SIMON",TANJONG KATONG ROAD,437112,342,103.896498243508,1.30373373435466
CHENNAI TRADING & SUPERMART PTE. LTD.,JALAN PAPAN,619392,1,103.726722841969,1.32048426082957
CHUA & NG PTE. LTD.,BEDOK RESERVOIR ROAD,470632,632,103.914145078086,1.33205094619271
COLD STORAGE SINGAPORE (1983) PTE LTD,TAMPINES STREET 32,529286,9,103.960042189056,1.35436493617486
COLD STORAGE SINGAPORE (1983) PTE LTD,UPPER BUKIT TIMAH ROAD,588177,144,103.776250537642,1.34239284479656
COLD STORAGE SINGAPORE (1983) PTE LTD,EASTWOOD ROAD,486442,20,103.955419467871,1.3214476908532
COLD STORAGE SINGAPORE (1983) PTE LTD,BISHAN STREET 13,570512,512,103.849881701299,1.34962234403109
COLD STORAGE SINGAPORE (1983) PTE LTD,DUNEARN ROAD,589472,896,103.783709152299,1.33667572858824
COLD STORAGE SINGAPORE (1983) PTE LTD,YISHUN AVENUE 2,769092,201,103.832979911333,1.41738336744103
COLD STORAGE SINGAPORE (1983) PTE LTD,TAMPINES CENTRAL 1,529536,10,103.94501945797,1.35431556438279
COLD STORAGE SINGAPORE (1983) PTE LTD,BUKIT TIMAH ROAD,259727,383,103.82734585139,1.31943617521461
COLD STORAGE SINGAPORE (1983) PTE LTD,HILLVIEW RISE,667979,4,103.76417292134,1.36267450256161
COLD STORAGE SINGAPORE (1983) PTE LTD,PASIR RIS STREET 21,510259,259,103.964598501334,1.36645363325574
COLD STORAGE SINGAPORE (1983) PTE LTD,SEMBAWANG ROAD,758459,604,103.824495079721,1.44176714678225
COLD STORAGE SINGAPORE (1983) PTE LTD,UPPER CHANGI ROAD,487048,430,103.946201244496,1.33177581668164
COLD STORAGE SINGAPORE (1983) PTE LTD,SENGKANG SQUARE,545078,1,103.894980035249,1.39209414927783
COLD STORAGE SINGAPORE (1983) PTE LTD,ADMIRALTY DRIVE,752468,468B,103.81411090726,1.45000861248809
COLD STORAGE SINGAPORE (1983) PTE LTD,JELAPANG ROAD,671524,524A,103.766170532015,1.38529556248789
COLD STORAGE SINGAPORE (1983) PTE LTD,TURF CLUB ROAD,287994,200,103.793133813234,1.33899462247146
COLD STORAGE SINGAPORE (1983) PTE LTD,STRAITS VIEW,18935,5,103.852844804264,1.27737236043423
COLD STORAGE SINGAPORE (1983) PTE LTD,ORCHARD ROAD,238839,68,103.845047628503,1.30074756196423
COLD STORAGE SINGAPORE (1983) PTE LTD,KIM SENG PROMENADE,237994,1,103.831757911005,1.29380236091495
COLD STORAGE SINGAPORE (1983) PTE LTD,WOODLANDS AVENUE 6,730768,768,103.798140996577,1.44562289934866
COLD STORAGE SINGAPORE (1983) PTE LTD,HOUGANG STREET 51,538719,21,103.887832026894,1.37924528806956
COLD STORAGE SINGAPORE (1983) PTE LTD,OCEAN WAY,98375,31,103.841921096861,1.24775861864545
COLD STORAGE SINGAPORE (1983) PTE LTD,ORCHARD ROAD,238859,290,103.835240311923,1.30372322367268
COLD STORAGE SINGAPORE (1983) PTE LTD,THOMSON ROAD,307591,101,103.843463185078,1.31733464253519
COLD STORAGE SINGAPORE (1983) PTE LTD,MARITIME SQUARE,99253,1,103.818625588159,1.26206336450486
COLD STORAGE SINGAPORE (1983) PTE LTD,BUKIT BATOK CENTRAL LINK,658713,1,103.749021982726,1.3501891589254
COLD STORAGE SINGAPORE (1983) PTE LTD,HOLLAND AVENUE,278967,211,103.795350440968,1.31025542171459
