tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy_current_month,infant_vacancy_next_month,infant_vacancy_third_month,infant_vacancy_fourth_month,infant_vacancy_fifth_month,infant_vacancy_sixth_month,infant_vacancy_seventh_month,pg_vacancy_current_month,pg_vacancy_next_month,pg_vacancy_third_month,pg_vacancy_fourth_month,pg_vacancy_fifth_month,pg_vacancy_sixth_month,pg_vacancy_seventh_month,n1_vacancy_current_month,n1_vacancy_next_month,n1_vacancy_third_month,n1_vacancy_fourth_month,n1_vacancy_fifth_month,n1_vacancy_sixth_month,n1_vacancy_seventh_month,n2_vacancy_current_month,n2_vacancy_next_month,n2_vacancy_third_month,n2_vacancy_fourth_month,n2_vacancy_fifth_month,n2_vacancy_sixth_month,n2_vacancy_seventh_month,k1_vacancy_current_month,k1_vacancy_next_month,k1_vacancy_third_month,k1_vacancy_fourth_month,k1_vacancy_fifth_month,k1_vacancy_sixth_month,k1_vacancy_seventh_month,k2_vacancy_current_month,k2_vacancy_next_month,k2_vacancy_third_month,k2_vacancy_fourth_month,k2_vacancy_fifth_month,k2_vacancy_sixth_month,k2_vacancy_seventh_month,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks
na,NT0110,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"192,TOA PAYOH LORONG 4,#02-672,310192",310192,https://www.myfirstskool.com/TPC-lifesg,Full,Full,Limited,Limited,Limited,Limited,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,15/2/2025,na
na,ST0268,PCF Sparkletots Preschool @ Paya Lebar Blk 23 (CC),ST,PCF Sparkletots Preschool Limited,CC,62882522,PL.CC.23@pcf.org.sg,"23,Hougang Avenue 3,#01-303,530023",530023,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,14/2/2025,na
na,PT9912,Les Petits Gaulois,PT,Private Operators,KN,81185882,tom.collin@agora-colearning.space,"903,EAST COAST ROAD,SIGLAP SHOPPING CENTRE,459106",459106,https://www.lespetitsgaulois.com/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Others: French,No,08:00-14:00,na,na,No,Yes,Yes,Yes,14/2/2025,na
na,PT9193,LES PETITS GAULOIS PTE. LTD.,PT,Private Operators,CC,64435400,enquiries.lpg@gmail.com,"895,EAST COAST ROAD,459098",459098,https://www.lespetitsgaulois.com/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Available,Available,Full,Full,Full,Full,Full,No Pork No Lard with Beef (from Non-Halal Sources),Others: French,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,No,14/2/2025,na
na,YM0155,MY WORLD PRESCHOOL LTD.,YM,MY World Preschool Ltd,CC,63842870,compassvaleancilla@myworld.org.sg,"281B,SENGKANG EAST AVENUE,#01-605,542281",542281,www.myworld.org.sg,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,14/2/2025,na
na,PT8777,SUNLIFE EDUCARE PTE LTD,PT,Private Operators,CC,68412083,dela.lau78@gmail.com,"61,KAKI BUKIT AVENUE 1,#06-26,SHUN LI INDUSTRIAL PARK,417943",417943,www.sunlifeeducare.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,Yes,Yes,No,14/2/2025,na
na,PT8420,SMART BERRIIS @ TAI SENG PTE LTD,PT,Private Operators,CC,62888261,supervisor_ts@smartberriis.com.sg,"30,Tai Seng Street,#02-12,Breadtalk IHQ,534013",534013,www.smartberriis.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,14/2/2025,na
na,EB0005,E-BRIDGE PRE-SCHOOL PTE. LTD.,EB,E-Bridge Pre-school Pte. Ltd.,CC,64659538,592montreal@e-bridge.edu.sg,"592C,MONTREAL LINK,#01-26,753592",753592,na,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Full,Full,na,na,Yes,07:00-19:00,na,na,No,No,Yes,Yes,14/2/2025,na
na,EB0025,E-Bridge Pre-School Pte Ltd,EB,E-Bridge Pre-school Pte. Ltd.,CC,60185828,633tampines@e-bridge.edu.sg,"633,TAMPINES NORTH DRIVE 2,#03-01,TAMPINES GREENCOURT,520633",520633,https://www.e-bridge.edu.sg/,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,14/2/2025,na
TP0161,EB0015,E-BRIDGE PRE-SCHOOL PTE LTD,EB,E-Bridge Pre-school Pte. Ltd.,CC,69048612,573woodlands@e-bridge.edu.sg,"573,WOODLANDS DRIVE 16,#03-01,730573",730573,https://info.e-bridge.edu.sg/registration-of-interest,Full,Full,Full,Full,Full,Limited,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,14/2/2025,na
