,school_name,category,address,longitude,latitude
2080,MILLENNIA INSTITUTE,CENTRALISED INSTITUTE,60   BUKIT BATOK WEST AVENUE 8,103.741593577684,1.35031939200985
1927,ANGLO-CHINESE SCHOOL (INDEPENDENT),IP/IB PROGRAMME,121  DOVER ROAD,103.780363417671,1.30370409257783
1959,CATHOLIC HIGH SCHOOL,IP/IB PROGRAMME,9    BISHAN STREET 22,103.844874676599,1.3547230747166
1974,CHIJ ST. NICHOLAS GIRLS' SCHOOL,IP/IB PROGRAMME,501  ANG MO KIO STREET 13,103.834253269436,1.37347687878916
1998,DUNMAN HIGH SCHOOL,IP/IB PROGRAMME,10   TANJONG RHU ROAD,103.88294155989,1.29996216014962
2043,HWA CHONG INSTITUTION,IP/IB PROGRAMME,661  BUKIT TIMAH ROAD,103.803290365022,1.3263580622144
2069,MARIS STELLA HIGH SCHOOL,IP/IB PROGRAMME,25   MOUNT VERNON ROAD,103.87776938227,1.34139822375509
2090,NATIONAL JUNIOR COLLEGE,IP/IB PROGRAMME,37   HILLCREST ROAD,103.804110905425,1.33029291072172
2107,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,IP/IB PROGRAMME,20   CLEMENTI AVENUE 1,103.769365156929,1.30656448055686
2143,RAFFLES INSTITUTION,IP/IB PROGRAMME,1    RAFFLES INSTITUTION LANE,103.843620247231,1.34629045013358
2146,RIVER VALLEY HIGH SCHOOL,IP/IB PROGRAMME,6    BOON LAY AVENUE,103.708190688947,1.34459584223718
2154,"SCHOOL OF THE ARTS, SINGAPORE",IP/IB PROGRAMME,1    ZUBIR SAID DRIVE,103.848687419363,1.29936480411316
2166,SINGAPORE SPORTS SCHOOL,IP/IB PROGRAMME,1    CHAMPIONS WAY,103.789444793951,1.42641140556342
2181,ST. JOSEPH'S INSTITUTION,IP/IB PROGRAMME,38   MALCOLM ROAD,103.828498974985,1.32365313490152
2199,TEMASEK JUNIOR COLLEGE,IP/IB PROGRAMME,2   TAMPINES AVENUE 9,103.956185936394,1.35728017255861
2286,ITE COLLEGE CENTRAL,ITE COLLEGE,"2 ANG MO KIO DR, SINGAPORE 567720",103.8563337,1.3777917
2287,ITE COLLEGE EAST,ITE COLLEGE,"10 SIMEI AVE, SINGAPORE 486047",103.9545642,1.3345901
2288,ITE COLLEGE WEST,ITE COLLEGE,"1 CHOA CHU KANG GROVE, SINGAPORE 688236",103.7524199,1.3758303
1921,ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,103.845885968342,1.37839670972543
1925,ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,25   DOVER CLOSE EAST,103.785358436408,1.30304255193392
1960,CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,129  WHITLEY ROAD,103.835028842353,1.32455605783219
2006,EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,2    SIN MING PLACE,103.841286169122,1.36213757183547
2049,JURONG PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,21   TECK WHYE WALK,103.75437461519,1.38437406410733
2088,NANYANG JUNIOR COLLEGE,JUNIOR COLLEGE,128  SERANGOON AVENUE 3,103.866498721912,1.35028314949236
2171,ST. ANDREW'S JUNIOR COLLEGE,JUNIOR COLLEGE,5    SORBY ADAMS DRIVE,103.863576377056,1.33306515740956
2188,TAMPINES MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,21   PASIR RIS STREET 71,103.936990723441,1.37633346909682
2206,VICTORIA JUNIOR COLLEGE,JUNIOR COLLEGE,20   MARINE VISTA,103.919982704149,1.30670174177479
2233,YISHUN INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,3    YISHUN RING ROAD,103.83003171149,1.42426692572335
2284,NANYANG POLYTECHNIC,POLYTECHNIC,"180 ANG MO KIO AVE 8, SINGAPORE 569830",103.8489487,1.37995
2282,NGEE ANN POLYTECHNIC,POLYTECHNIC,"535 CLEMENTI RD, SINGAPORE 599489",103.7759366,1.3330863
2285,REPUBLIC POLYTECHNIC,POLYTECHNIC,"9 WOODLANDS AVE 9, SINGAPORE 738964",103.7855636,1.442831
2281,SINGAPORE POLYTECHNIC,POLYTECHNIC,"500 DOVER RD, SINGAPORE 139651",103.7775495,1.3097757
2283,TEMASEK POLYTECHNIC,POLYTECHNIC,"21 TAMPINES AVE 1, SINGAPORE 529757",103.931822,1.345315
1500,3HOUSE KINDERGARTEN (TAMPINES),PRESCHOOL,"891,TAMPINES AVENUE 8,#01520891",103.931126953177,1.34920948684933
1262,7OAKS PRESCHOOL - BEDOK RESERVOIR,PRESCHOOL,"709,BEDOK RESERVOIR ROAD,#01-3854,470709",103.922350069667,1.33541606639526
325,7OAKS PRESCHOOL - INTERNATIONAL BUSINESS PARK,PRESCHOOL,"31,INTERNATIONAL BUSINESS PARK,#05-09,CREATIVE RESOURCES,609921",103.746173268778,1.32910540395565
1056,7OAKS PRESCHOOL - JURONG ST. 81,PRESCHOOL,"826,JURONG WEST STREET 81,#01-430,640826",103.694423564846,1.34604529493384
1481,7OAKS PRESCHOOL - JURONG ST. 91,PRESCHOOL,"949,JURONG WEST STREET 91,#01-709,NANYANG RUBY,640949",103.69167853351,1.34332966235335
330,7OAKS PRESCHOOL - KALLANG,PRESCHOOL,"115A,JALAN AYER,#01-03,KALLANG RESIDENCES,382115",103.872687694828,1.31147846434971
1480,7OAKS PRESCHOOL - PASIR RIS ST. 11,PRESCHOOL,"187,PASIR RIS STREET 11,#01-88,510187",103.959292475911,1.36478562221786
1909,7OAKS PRESCHOOL - PASIR RIS ST. 11,PRESCHOOL,"185,PASIR RIS STREET 11,PASIR RIS ST 11,510185",103.96004408149,1.36561350104995
1367,7OAKS PRESCHOOL - PASIR RIS ST. 51,PRESCHOOL,"557,PASIR RIS ST 51,#01-201,510557",103.952134572584,1.36702531507779
1479,7OAKS PRESCHOOL - SEMBAWANG,PRESCHOOL,"316,SEMBAWANG VISTA,#01-191,750316",103.82081661201,1.44634275801164
328,7OAKS PRESCHOOL - TAMPINES,PRESCHOOL,"265,TAMPINES STREET 21,#01-32,520265",103.950238896388,1.35245349194636
18,A STAR CHILDCARE PTE. LTD.,PRESCHOOL,"55,SERANGOON NORTH AVE 4,#01-08,S9,555859",103.874923877958,1.37695227610228
588,A2E KIDS,PRESCHOOL,"118,ALJUNIED AVENUE 2,#03-102,380118",103.887363064677,1.32000040187831
1643,AAYTOZEE @ HILLVIEW PTE LTD,PRESCHOOL,"2,JALAN DERMAWAN,668947",103.761904463885,1.35884961898497
1425,AAYTOZEE LEARNING COVE PTE LTD,PRESCHOOL,"21,CHU LIN ROAD,BAMBOO GROVE PARK,669915",103.760075727441,1.35752640518369
281,ABATA TREEHOUSE,PRESCHOOL,"103,JALAN KEMBANGAN,419141",103.913214119997,1.32509466145283
1475,ABC CHILDREN'S PLACE,PRESCHOOL,"878,TAMPINES AVENUE 8,#01-308,520878",103.931382253216,1.35221187065647
168,ACADEMY KIDZ INC PTE. LTD.,PRESCHOOL,"750D,CHAI CHEE ROAD,#01-01,TECHNOPARK @ CHAI CHEE,469004",103.920876449789,1.32261198109864
