BusStopCode,RoadName,Description,Latitude,Longitude,BusServicesList,NumBusServices
10009,Bt Merah Ctrl,Bt Merah Int,1.28210155945393,103.81722480263164,"['176', '5', '167', '132', '153', '131', '16', '272', '57', '198', '123', '139', '75', '851', '16M', '273']",16
10011,New Bridge Rd,BEF NEIL RD,1.2777380589964,103.83749709165195,"['124', '174', '174e', '122', '961M', '12e', '961', '12', '147', '54', '2', '143', '190']",13
10017,Eu Tong Sen St,Aft Hosp Dr,1.27832046633393,103.83762574759974,"['124', '167', '174', '174e', '122', '197', '12e', '961', '961M', '166', '12', '147', '54', '61', '196', '2', '143', '190']",18
10018,Eu Tong Sen St,OUTRAM PK STN EXIT 6/SGH,1.27900819665099,103.8386036062196,"['124', '197', '961M', '961', '166', '147', '61', '143']",8
10021,Neil Rd,Blk 3,1.27744837946643,103.83838894560752,"['167', '197', '166', '61', '196']",5
10041,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.27605834770353,103.83519065305671,"['124', '167', '174', '122', '197', '961M', '961', '166', '147', '12', '54', '61', '196', '2', '143', '190']",16
10049,Kg Bahru Rd,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772156,"['124', '167', '174', '122', '197', '961M', '961', '166', '147', '12', '54', '61', '196', '2', '143', '190']",16
10051,Jln Bt Merah,Blk 149,1.2774116353284,103.83214410914844,"['167', '197', '961M', '961', '147', '196', '120']",7
10059,Jln Bt Merah,Opp Blk 149,1.27739664167497,103.83275178077876,"['167', '197', '961M', '961', '147', '196', '120']",7
10061,Jln Bt Merah,Blk 140,1.27860472196885,103.82948638898172,"['167', '197', '961M', '961', '147', '196', '120']",7
10069,Jln Bt Merah,Opp Blk 140,1.27855472196877,103.83008250001669,"['167', '197', '961M', '961', '147', '196', '120']",7
10071,Jln Bt Merah,Blk 111,1.28045309423663,103.82638920754816,"['167', '197', '961M', '961', '147', '75', '175', '196', '120', '121']",10
10079,Jln Bt Merah,Blk 201,1.2803950142786,103.82708906887606,"['167', '197', '961M', '961', '147', '75', '175', '196', '120', '121']",10
10081,Jln Bt Merah,Opp Blk 120,1.2822783541702,103.82241744338572,"['5', '167', '131', '197', '14', '961M', '961', '147', '855', '75', '175', '196']",12
10089,Jln Bt Merah,Blk 119,1.28292332245689,103.82165660905856,"['5', '167', '131', '197', '14', '961M', '961', '147', '855', '75', '175', '196']",12
10091,Jln Bt Merah,Bt Merah Town Ctr,1.28394108576437,103.81783962251122,"['197', '14', '961M', '961', '147', '855', '196', '16M']",8
10099,Jln Bt Merah,Opp Bt Merah Town Ctr,1.28420923932422,103.81765723225828,"['197', '14', '961M', '961', '147', '855', '196', '16M']",8
10101,Jln Bt Merah,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436,"['153', '197', '14', '961M', '961', '198', '147', '123', '139', '855', '196']",11
10109,Jln Bt Merah,BT MERAH SEC SCH,1.28535315729277,103.81370529674273,"['197', '14', '961M', '961', '147', '855', '196']",7
10111,Jln Bt Merah,Opp Blk 28,1.28592835098556,103.80935410958448,"['153', '197', '14', '961M', '961', '198', '147', '123', '855', '196']",10
10119,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598009010704,103.81122515087834,"['153', '197', '14', '961M', '961', '198', '147', '123', '139', '855', '196']",11
1012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006,"['7', '51', '32', '33', '12e', '63', '12', '175', '61', '2', '80']",11
10121,Kim Tian Rd,Blk 126 CP,1.28259924598805,103.82890541983912,"['75', '121']",2
10129,Kim Tian Rd,Blk 121,1.28231999999009,103.8285719444802,"['75', '121']",2
1013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225,"['145', '133', '197', '130', '851', '960e', '851e', '960']",8
10131,Jln Bt Merah,Opp Blk 2,1.28619141382394,103.80686549059318,"['153', '197', '14', '961M', '961', '198', '147', '123', '855', '196']",10
10139,Jln Bt Merah,Blk 1,1.28635135443034,103.8081000223439,"['153', '197', '14', '961M', '961', '198', '147', '123', '855', '196']",10
10141,Tiong Bahru Rd,Blk 18,1.28583847140468,103.83238179897587,"['195A', '5', '16', '33', '122', '63A', '63', '195', '123', '75', '851', '16M', '123M']",13
10149,Tiong Bahru Rd,Blk 1,1.28606797463712,103.83283384311112,"['5', '16', '33', '33A', '122', '63', '195', '123', '75', '851', '16M', '123M']",12
10151,Tiong Bahru Rd,Ctrl Green Condo,1.28572048365401,103.8285292287095,"['195A', '5', '16', '33', '122', '63A', '63', '195', '123', '851', '16M', '123M', '121']",13
10161,Tiong Bahru Rd,Opp Tiong Bahru Stn/Plaza,1.28593135445772,103.82668969231534,"['195A', '5', '16', '33', '122', '63A', '63', '195', '123', '851', '16M', '123M', '121']",13
10169,Tiong Bahru Rd,Tiong Bahru Stn/Plaza,1.28599961406266,103.82748123930962,"['195A', '5', '16', '33', '33A', '122', '63', '195', '123', '851', '16M', '123M', '121']",13
10171,Tiong Bahru Rd,Opp Tiong Bahru Pk,1.28736808047078,103.82346004890805,"['16', '32', '33', '63A', '63', '851', '16M', '120', '64']",9
10179,Tiong Bahru Rd,Tiong Bahru Pk,1.28722333302937,103.82395833301354,"['16', '32', '33', '33A', '63', '851', '16M', '120', '64']",9
10181,Tiong Bahru Rd,BEF AR-RABITAH MQUE,1.28850399420484,103.82109741719866,"['145', '132', '32', '33', '63A', '63', '120', '64']",8
10189,Tiong Bahru Rd,Blk 104A CP,1.28858805222806,103.82183192865196,"['145', '132', '32', '33', '33A', '63', '145A', '120', '64']",9
1019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507,"['133', '33', '12e', '130', '12', '960e', '2', '960']",8
10191,Tiong Bahru Rd,Blk 78,1.28860026020096,103.81903121724014,"['145', '132', '32', '33', '63A', '63', '120', '64']",8
10199,Tiong Bahru Rd,Delta Swim Cplx,1.28875723330649,103.81936618662203,"['145', '132', '32', '33', '33A', '63', '145A', '120', '64']",9
10201,Tiong Bahru Rd,Opp Redhill Stn,1.28928144532567,103.81662854691156,"['145', '132', '32', '33', '120', '64']",6
10209,Tiong Bahru Rd,Redhill Stn,1.28954631749853,103.81672885450702,"['145', '132', '32', '33', '33A', '145A', '120', '64']",8
10211,Leng Kee Rd,BMW Eurokars Auto,1.29075499997303,103.81144166700754,['139'],1
10219,Leng Kee Rd,Skoda S'pore/Volkswagen Grp,1.290835,103.81181,['139'],1
10221,Ganges Ave,Ganges Ctr,1.29032906602668,103.83111793441608,"['186', '64', '51', '121']",4
10229,Ganges Ave,Opp Harvest Mansions,1.29052137840164,103.83178189529583,"['186', '64', '51', '121']",4
10231,Ganges Ave,Blk 51 CP,1.29041850946952,103.8278810014952,"['186', '64', '51', '121']",4
10239,Ganges Ave,Blk 79,1.29060688839488,103.82865297447871,"['186', '64', '51', '121']",4
10241,Alexandra Rd,Gan Eng Seng Sec Sch,1.2906166672167,103.82362326803133,"['970', '51', '186', '122', '139']",5
10249,Alexandra Rd,Opp Gan Eng Seng Sec Sch,1.29088138899671,103.82407777797806,"['970', '51', '186', '122', '139']",5
10261,Alexandra Rd,Delta Sports Hall,1.29090335842692,103.82047232884216,"['970', '51', '186', '122', '139']",5
10269,Alexandra Rd,Opp Delta Sports Hall,1.29125331927458,103.82057583280772,"['970', '51', '186', '122', '139']",5
10271,Alexandra Rd,Opp Tanglin View,1.29115999997607,103.81757666701353,"['970', '51', '186', '122', '139']",5
10279,Alexandra Rd,Tanglin View,1.29151373164978,103.81757660887745,"['970', '51', '186', '122', '139']",5
10281,Alexandra Rd,SIS Bldg,1.29153833298318,103.81445166697796,"['970', '145', '51', '186', '33', '111', '139', '120', '64']",9
10287,Alexandra Rd,Opposite Cycle & Carriage,1.291914,103.813405,"['145', '33A', '33', '120', '64']",5
10289,Alexandra Rd,Opp SIS Bldg,1.2918699745378,103.81440639448375,"['970', '51', '186', '111', '139']",5
1029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464268,"['7', '145', '51', '32', '197', '63A', '63', '7A', '851', '175', '61', '851e', '80']",13
10291,Alexandra Rd,Opp Dawson Pl,1.29215855273858,103.81065866068086,"['970', '145', '51', '186', '33', '111', '139', '120', '64']",9
10299,Alexandra Rd,Aft Dawson Pl,1.29233498466278,103.81146486767658,"['970', '145', '51', '186', '33', '33A', '111', '139', '120', '64']",10
10321,Tanglin Rd,Opp Grace Ably of God Ch,1.29428332949691,103.81587839882768,"['132', '32', '122', '111']",4
10329,Tanglin Rd,Crescent Girls' Sch,1.29364671283262,103.81597460107542,"['132', '32', '122', '111']",4
