SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
PASIR RIS MRT STATION (EW1),10,PASIR RIS CENTRAL,PASIR RIS MRT STATION (EW1),10 PASIR RIS CENTRAL PASIR RIS MRT STATION (EW1) SINGAPORE 519634,519634,40905.597462655,39449.9823396821,1.37304331635804,103.949284527763
TAMPINES MRT STATION (EW2),20,TAMPINES CENTRAL 1,TAMPINES MRT STATION (EW2),20 TAMPINES CENTRAL 1 TAMPINES MRT STATION (EW2) SINGAPORE 529538,529538,40444.9732025806,37267.0262664594,1.35330167637376,103.945144586749
SIMEI MRT STATION (EW3),30,SIMEI STREET 3,SIMEI MRT STATION (EW3),30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888,529888,41361.2281713123,36149.7527796105,1.34319707851829,103.953377214378
TANAH MERAH MRT STATION (EW4),920,NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION (EW4),920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION (EW4) SINGAPORE 467356,467356,40579.0997793637,34379.4316836372,1.32718729074675,103.946348600798
BEDOK MRT STATION (EW5),315,NEW UPPER CHANGI ROAD,BEDOK MRT STATION (EW5),315 NEW UPPER CHANGI ROAD BEDOK MRT STATION (EW5) SINGAPORE 467347,467347,38757.952049505,34024.7047772072,1.32397996868158,103.929984495066
KEMBANGAN MRT STATION (EW6),55,SIMS AVENUE EAST,KEMBANGAN MRT STATION (EW6),55 SIMS AVENUE EAST KEMBANGAN MRT STATION (EW6) SINGAPORE 416551,416551,36861.9614935443,33699.3440501876,1.3210381335934,103.912947930851
EUNOS MRT STATION (EW7),30,EUNOS CRESCENT,EUNOS MRT STATION (EW7),30 EUNOS CRESCENT EUNOS MRT STATION (EW7) SINGAPORE 409423,409423,35779.9883453855,33560.5858968049,1.31978354916088,103.903225807255
PAYA LEBAR MRT STATION (EW8),30,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (EW8),30 PAYA LEBAR ROAD PAYA LEBAR MRT STATION (EW8) SINGAPORE 409006,409006,34648.7236344032,33375.6688563768,1.31811149224527,103.893060771576
ALJUNIED MRT STATION (EW9),81,LORONG 25 GEYLANG,ALJUNIED MRT STATION (EW9),81 LORONG 25 GEYLANG ALJUNIED MRT STATION (EW9) SINGAPORE 388310,388310,33518.6048692847,33190.002017457,1.3164326118157,103.882906044385
KALLANG MRT STATION (EW10),5,SIMS AVENUE,KALLANG MRT STATION (EW10),5 SIMS AVENUE KALLANG MRT STATION (EW10) SINGAPORE 387405,387405,32236.6038438473,32643.3302382641,1.31148890998818,103.871386541754
LAVENDER MRT STATION (EW11),50,KALLANG ROAD,LAVENDER MRT STATION (EW11),50 KALLANG ROAD LAVENDER MRT STATION (EW11) SINGAPORE 208699,208699,31277.4062337531,32188.7337866109,1.30737781747063,103.862767633888
BUGIS MRT STATION (EW12),220,VICTORIA STREET,BUGIS MRT STATION (EW12),220 VICTORIA STREET BUGIS MRT STATION (EW12) SINGAPORE 188022,188022,30491.6000699066,31424.3512713723,1.30046508509717,103.855706730933
CITY HALL MRT STATION (EW13 / NS25),150,NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),150 NORTH BRIDGE ROAD CITY HALL MRT STATION (EW13 / NS25) SINGAPORE 179100,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366
RAFFLES PLACE MRT STATION (EW14 / NS26),5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),5 RAFFLES PLACE RAFFLES PLACE MRT STATION (EW14 / NS26) SINGAPORE 048618,048618,30019.180527918,29617.6125848945,1.28412561043658,103.851461712342
TANJONG PAGAR MRT STATION (EW15),120,MAXWELL ROAD,TANJONG PAGAR MRT STATION (EW15),120 MAXWELL ROAD TANJONG PAGAR MRT STATION (EW15) SINGAPORE 069119,069119,29380.7567437869,28781.1883335691,1.27656131737246,103.845725186759
OUTRAM PARK MRT STATION (EW16),10,OUTRAM ROAD,OUTRAM PARK MRT STATION (EW16),10 OUTRAM ROAD OUTRAM PARK MRT STATION (EW16) SINGAPORE 169037,169037,28646.8726726929,29316.780396251,1.28140504772213,103.839130979249
TIONG BAHRU MRT STATION (EW17),300,TIONG BAHRU ROAD,TIONG BAHRU MRT STATION (EW17),300 TIONG BAHRU ROAD TIONG BAHRU MRT STATION (EW17) SINGAPORE 168731,168731,27346.3322650846,29836.2044219468,1.28610253615775,103.827445112419
REDHILL MRT STATION (EW18),920,TIONG BAHRU ROAD,REDHILL MRT STATION (EW18),920 TIONG BAHRU ROAD REDHILL MRT STATION (EW18) SINGAPORE 158792,158792,26155.053497511,30226.759782847,1.28963453412887,103.81674097205
QUEENSTOWN MRT STATION (EW19),301,COMMONWEALTH AVENUE,QUEENSTOWN MRT STATION (EW19),301 COMMONWEALTH AVENUE QUEENSTOWN MRT STATION (EW19) SINGAPORE 149729,149729,24968.2673462247,30770.3911128063,1.29455085184931,103.806077155982
COMMONWEALTH MRT STATION (EW20),375,COMMONWEALTH AVENUE,COMMONWEALTH MRT STATION (EW20),375 COMMONWEALTH AVENUE COMMONWEALTH MRT STATION (EW20) SINGAPORE 149735,149735,24094.7951433668,31649.5989169721,1.30250199924325,103.798228523336
BUONA VISTA MRT STATION (EW21),100,NORTH BUONA VISTA ROAD,BUONA VISTA MRT STATION (EW21),100 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION (EW21) SINGAPORE 139345,139345,23207.2578019593,32171.7150982097,1.3072237082044,103.790253514502
DOVER MRT STATION (EW22),200,COMMONWEALTH AVENUE WEST,DOVER MRT STATION (EW22),200 COMMONWEALTH AVENUE WEST DOVER MRT STATION (EW22) SINGAPORE 138677,138677,21914.5509301452,32634.1186314393,1.31140529320963,103.778637841909
CLEMENTI MRT STATION (EW23),3150,COMMONWEALTH AVENUE WEST,CLEMENTI MRT STATION (EW23),3150 COMMONWEALTH AVENUE WEST CLEMENTI MRT STATION (EW23) SINGAPORE 129580,129580,20418.1055078562,33044.4944669213,1.31511625277378,103.765191452888
JURONG EAST MRT STATION (EW24 / NS1),10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,17869.0570516568,35038.9688695427,1.33315281585758,103.742286332403
CHINESE GARDEN MRT STATION (EW25),151,BOON LAY WAY,CHINESE GARDEN MRT STATION (EW25),151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959,609959,16790.7466322081,36056.3018932827,1.34235282081401,103.732596738363
LAKESIDE MRT STATION (EW26),201,BOON LAY WAY,LAKESIDE MRT STATION (EW26),201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845,649845,15494.4969534362,36267.1470333859,1.34425911493819,103.720949087456
BOON LAY MRT STATION (EW27),301,BOON LAY WAY,BOON LAY MRT STATION (EW27),301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846,649846,13837.9827195406,35641.9191215802,1.33860405469845,103.706064622772
PIONEER MRT STATION (EW28),31,JURONG WEST STREET 63,PIONEER MRT STATION (EW28),31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310,648310,12864.9698331021,35529.5115483906,1.33758701106708,103.697321608474
JOO KOON MRT STATION (EW29),91,JOO KOON CIRCLE,JOO KOON MRT STATION (EW29),91 JOO KOON CIRCLE JOO KOON MRT STATION (EW29) SINGAPORE 629116,629116,10756.3379743481,34438.2617777772,1.3277170408447,103.678374996165
GUL CIRCLE MRT STATION (EW30),7A,TUAS ROAD,GUL CIRCLE MRT STATION (EW30),7A TUAS ROAD GUL CIRCLE MRT STATION (EW30) SINGAPORE 637288,637288,8770.35150132887,33526.5733700171,1.31947090075208,103.660530461345
