BusStopCode,RoadName,Description,Latitude,Longitude,BusServicesList,NumBusServices
10009,Bt Merah Ctrl,Bt Merah Int,1.282101559,103.8172248,"['139', '132', '75', '273', '167', '16', '131', '123', '272', '16M', '176', '153', '851', '198', '5', '57']",16
10011,New Bridge Rd,BEF NEIL RD,1.277738059,103.8374971,"['190', '122', '961', '961M', '174e', '147', '2', '174', '12', '54', '143', '124', '12e']",13
10017,Eu Tong Sen St,Aft Hosp Dr,1.278320466,103.8376257,"['190', '122', '61', '961', '961M', '166', '174e', '167', '196', '147', '197', '174', '12', '2', '54', '143', '124', '12e']",18
10018,Eu Tong Sen St,OUTRAM PK STN EXIT 6/SGH,1.279008197,103.8386036,"['61', '961', '961M', '166', '197', '147', '143', '124']",8
10021,Neil Rd,Blk 3,1.277448379,103.8383889,"['61', '166', '167', '196', '197']",5
10041,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.276058348,103.8351907,"['190', '122', '61', '961', '961M', '166', '167', '196', '147', '197', '2', '12', '54', '143', '124', '174']",16
10049,Kg Bahru Rd,OPP KAMPONG BAHRU TER,1.276233024,103.8348379,"['190', '122', '61', '961', '961M', '166', '167', '196', '147', '197', '2', '12', '54', '143', '124', '174']",16
10051,Jln Bt Merah,Blk 149,1.277411635,103.8321441,"['961', '961M', '167', '120', '196', '147', '197']",7
10059,Jln Bt Merah,Opp Blk 149,1.277396642,103.8327518,"['961', '961M', '167', '120', '196', '147', '197']",7
10061,Jln Bt Merah,Blk 140,1.278604722,103.8294864,"['961', '961M', '167', '120', '196', '147', '197']",7
10069,Jln Bt Merah,Opp Blk 140,1.278554722,103.8300825,"['961', '961M', '167', '120', '196', '147', '197']",7
10071,Jln Bt Merah,Blk 111,1.280453094,103.8263892,"['961', '121', '75', '961M', '167', '120', '196', '147', '197', '175']",10
10079,Jln Bt Merah,Blk 201,1.280395014,103.8270891,"['961', '121', '75', '961M', '167', '120', '196', '147', '197', '175']",10
10081,Jln Bt Merah,Opp Blk 120,1.282278354,103.8224174,"['961', '14', '75', '961M', '167', '131', '196', '147', '197', '855', '5', '175']",12
10089,Jln Bt Merah,Blk 119,1.282923322,103.8216566,"['961', '14', '75', '961M', '167', '131', '196', '147', '197', '855', '5', '175']",12
10091,Jln Bt Merah,Bt Merah Town Ctr,1.283941086,103.8178396,"['961', '14', '961M', '16M', '196', '197', '147', '855']",8
10099,Jln Bt Merah,Opp Bt Merah Town Ctr,1.284209239,103.8176572,"['961', '14', '961M', '16M', '196', '197', '147', '855']",8
10101,Jln Bt Merah,OPP BT MERAH SEC SCH,1.285061952,103.8137833,"['961', '14', '139', '961M', '123', '196', '147', '153', '197', '198', '855']",11
10109,Jln Bt Merah,BT MERAH SEC SCH,1.285353157,103.8137053,"['961', '14', '961M', '196', '147', '197', '855']",7
10111,Jln Bt Merah,Opp Blk 28,1.285928351,103.8093541,"['961', '14', '961M', '123', '196', '147', '153', '197', '198', '855']",10
10119,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598009,103.8112252,"['961', '14', '139', '961M', '123', '196', '147', '153', '197', '198', '855']",11
1012,Victoria St,Hotel Grand Pacific,1.296848255,103.8525359,"['61', '7', '32', '33', '2', '12', '80', '175', '51', '63', '12e']",11
10121,Kim Tian Rd,Blk 126 CP,1.282599246,103.8289054,"['121', '75']",2
10129,Kim Tian Rd,Blk 121,1.28232,103.8285719,"['121', '75']",2
1013,Victoria St,St. Joseph's Ch,1.297709706,103.8532247,"['130', '851e', '960e', '197', '133', '851', '960', '145']",8
10131,Jln Bt Merah,Opp Blk 2,1.286191414,103.8068655,"['961', '14', '961M', '123', '196', '147', '153', '197', '198', '855']",10
10139,Jln Bt Merah,Blk 1,1.286351354,103.8081,"['961', '14', '961M', '123', '196', '147', '153', '197', '198', '855']",10
10141,Tiong Bahru Rd,Blk 18,1.285838471,103.8323818,"['195', '122', '75', '33', '16', '123', '63A', '16M', '851', '123M', '5', '63', '195A']",13
10149,Tiong Bahru Rd,Blk 1,1.286067975,103.8328338,"['195', '122', '33A', '75', '33', '16', '123', '16M', '851', '123M', '5', '63']",12
10151,Tiong Bahru Rd,Ctrl Green Condo,1.285720484,103.8285292,"['195', '121', '122', '33', '16', '123', '63A', '16M', '851', '123M', '5', '63', '195A']",13
10161,Tiong Bahru Rd,Opp Tiong Bahru Stn/Plaza,1.285931354,103.8266897,"['195', '121', '122', '33', '16', '123', '63A', '16M', '851', '123M', '5', '63', '195A']",13
10169,Tiong Bahru Rd,Tiong Bahru Stn/Plaza,1.285999614,103.8274812,"['195', '121', '122', '33A', '33', '16', '123', '16M', '851', '123M', '5', '63', '195A']",13
10171,Tiong Bahru Rd,Opp Tiong Bahru Pk,1.28736808,103.82346,"['32', '33', '16', '120', '63A', '16M', '851', '64', '63']",9
10179,Tiong Bahru Rd,Tiong Bahru Pk,1.287223333,103.8239583,"['33A', '32', '33', '16', '120', '16M', '851', '64', '63']",9
10181,Tiong Bahru Rd,BEF AR-RABITAH MQUE,1.288503994,103.8210974,"['132', '32', '33', '120', '63A', '145', '64', '63']",8
10189,Tiong Bahru Rd,Blk 104A CP,1.288588052,103.8218319,"['33A', '132', '32', '33', '145A', '120', '145', '64', '63']",9
1019,Victoria St,Bras Basah Cplx,1.296989512,103.853022,"['130', '960e', '33', '2', '133', '12', '960', '12e']",8
10191,Tiong Bahru Rd,Blk 78,1.28860026,103.8190312,"['132', '32', '33', '120', '63A', '145', '64', '63']",8
10199,Tiong Bahru Rd,Delta Swim Cplx,1.288757233,103.8193662,"['33A', '132', '32', '33', '145A', '120', '145', '64', '63']",9
10201,Tiong Bahru Rd,Opp Redhill Stn,1.289281445,103.8166285,"['132', '32', '33', '120', '145', '64']",6
10209,Tiong Bahru Rd,Redhill Stn,1.289546317,103.8167289,"['33A', '132', '32', '33', '145A', '120', '145', '64']",8
10211,Leng Kee Rd,BMW Eurokars Auto,1.290755,103.8114417,['139'],1
10219,Leng Kee Rd,Skoda S'pore/Volkswagen Grp,1.290835,103.81181,['139'],1
10221,Ganges Ave,Ganges Ctr,1.290329066,103.8311179,"['121', '64', '186', '51']",4
10229,Ganges Ave,Opp Harvest Mansions,1.290521378,103.8317819,"['121', '64', '186', '51']",4
10231,Ganges Ave,Blk 51 CP,1.290418509,103.827881,"['121', '64', '186', '51']",4
10239,Ganges Ave,Blk 79,1.290606888,103.828653,"['121', '64', '186', '51']",4
10241,Alexandra Rd,Gan Eng Seng Sec Sch,1.290616667,103.8236233,"['122', '139', '970', '186', '51']",5
10249,Alexandra Rd,Opp Gan Eng Seng Sec Sch,1.290881389,103.8240778,"['122', '139', '970', '186', '51']",5
10261,Alexandra Rd,Delta Sports Hall,1.290903358,103.8204723,"['122', '139', '970', '186', '51']",5
10269,Alexandra Rd,Opp Delta Sports Hall,1.291253319,103.8205758,"['122', '139', '970', '186', '51']",5
10271,Alexandra Rd,Opp Tanglin View,1.29116,103.8175767,"['122', '139', '970', '186', '51']",5
10279,Alexandra Rd,Tanglin View,1.291513732,103.8175766,"['122', '139', '970', '186', '51']",5
10281,Alexandra Rd,SIS Bldg,1.291538333,103.8144517,"['139', '33', '120', '111', '970', '145', '64', '186', '51']",9
10287,Alexandra Rd,Opposite Cycle & Carriage,1.291914,103.813405,"['33A', '33', '120', '145', '64']",5
10289,Alexandra Rd,Opp SIS Bldg,1.291869975,103.8144064,"['139', '970', '111', '186', '51']",5
1029,Nth Bridge Rd,Opp Natl Lib,1.296672985,103.8544142,"['61', '7', '851e', '32', '63A', '197', '851', '7A', '145', '80', '175', '51', '63']",13
10291,Alexandra Rd,Opp Dawson Pl,1.292158553,103.8106587,"['139', '33', '120', '111', '970', '145', '64', '186', '51']",9
10299,Alexandra Rd,Aft Dawson Pl,1.292334985,103.8114649,"['33A', '139', '33', '120', '111', '970', '145', '64', '186', '51']",10
10321,Tanglin Rd,Opp Grace Ably of God Ch,1.294283329,103.8158784,"['122', '32', '132', '111']",4
10329,Tanglin Rd,Crescent Girls' Sch,1.293646713,103.8159746,"['122', '32', '132', '111']",4
10331,Henderson Rd,Bef Bt Merah Ctrl,1.281363066,103.8183442,"['273', '272', '176', '57', '145', '175']",6
10339,Henderson Rd,Aft Bt Merah Ctrl,1.281158351,103.8185725,"['273', '145A', '272', '176', '57', '145', '175']",7
10341,Henderson Rd,Opp Blk 116,1.284846396,103.820593,"['132', '16', '16M', '851', '145']",5
10349,Henderson Rd,Blk 116,1.284977,103.821011,"['132', '16', '145A', '16M', '851', '145']",6
10351,Henderson Rd,Blk 95B,1.286755018,103.8220499,"['132', '16', '16M', '851', '145']",5
10359,Henderson Rd,Opp Blk 95C,1.287238333,103.822593,"['132', '16', '145A', '16M', '851', '145']",6
10361,Lower Delta Rd,Cendex Ctr,1.280380921,103.8235303,"['195', '121', '131', '123', '65', '123M', '855', '195A']",8
10369,Lower Delta Rd,Opp Cendex Ctr,1.280374712,103.8238734,"['195', '121', '131', '123', '65', '123M', '855', '195A']",8
10371,Lower Delta Rd,Blk 129,1.283650723,103.8245027,"['195', '14', '123', '120', '65', '123M', '5', '195A']",8
10379,Lower Delta Rd,Blk 25B,1.283736034,103.8248952,"['195', '14', '123', '120', '65', '123M', '5', '195A']",8
10381,Lower Delta Rd,Opp Blk 48,1.289069722,103.8255941,"['121', '14', '122', '32', '65', '64']",6
10389,Lower Delta Rd,Blk 48,1.28875833,103.8257346,"['121', '14', '122', '32', '65', '64']",6
1039,Nth Bridge Rd,Bugis Cube,1.298207841,103.8554914,"['61', '7', '851e', '32', '63A', '197', '851', '7A', '145', '80', '175', '51', '63']",13
10391,Kg Bahru Rd,Opp Melati Blk 2,1.276271053,103.8312564,"['61', '143', '166', '124']",4
10399,Kg Bahru Rd,Melati Blk 2,1.275881663,103.8301945,"['61', '143', '166', '124']",4
10401,Hoy Fatt Rd,Shriro Hse,1.288167299,103.8116785,['63'],1
10409,Hoy Fatt Rd,Blk 50,1.287882218,103.8109932,"['63', '63A']",2
10411,Hoy Fatt Rd,Opp Blk 53,1.289129795,103.8128084,['63'],1
10419,Hoy Fatt Rd,Blk 52,1.288420242,103.8125755,"['63', '63A']",2
10421,Lengkok Bahru,Blk 63B,1.288964,103.814975,"['139', '63']",2
10429,Lengkok Bahru,Blk 54,1.289277906,103.8140481,"['139', '63', '63A']",3
10431,Lengkok Bahru,ENABLING VILLAGE,1.287195,103.813984,['139'],1
10439,Lengkok Bahru,OPP ENABLING VILLAGE,1.287479569,103.8141894,['139'],1
10441,Lengkok Bahru,Opp Blk 44,1.286568989,103.8116062,['139'],1
10449,Lengkok Bahru,Blk 44,1.286665525,103.8119538,['139'],1
10451,Redhill Rd,Opp Blk 71,1.287623803,103.817256,['63'],1
10459,Redhill Rd,Blk 72,1.287547234,103.8163992,"['63', '63A']",2
10461,Kay Siang Rd,Opp Blk 95,1.296805974,103.8116914,"['122', '32']",2
10469,Kay Siang Rd,Bef Margaret Dr,1.296684,103.8121692,"['122', '32']",2
10471,Kay Siang Rd,Bef Tanglin Rd,1.296799931,103.8146822,"['122', '32']",2
10479,Kay Siang Rd,Aft Tanglin Rd,1.296681,103.8154738,"['122', '32']",2
10481,Redhill Cl,Opp Blk 73,1.287841955,103.8179716,"['63', '63A']",2
10489,Redhill Cl,Blk 73,1.288116389,103.8177839,['63'],1
10499,Spooner Rd,KAMPONG BAHRU TER,1.275854004,103.83401,"['190', '122', '174e', '120', '2', '174', '12', '54', '12e']",9
10501,Jln Bt Merah,Blk 104,1.281058454,103.8252807,"['961', '121', '75', '961M', '167', '196', '147', '197', '175']",9
10519,Delta Rd,Blk 4,1.291728,103.826122,"['14', '139', '32', '970', '65']",5
1059,Victoria St,Bugis Stn Exit B,1.300756795,103.8561104,"['130', '960e', '33', '2', '133', '12', '960']",7
10599,Jln Rumah Tinggi,Opp Blk 36,1.28883435,103.80925,"['63', '63A']",2
10651,Bt Merah Ctrl,Blk 161,1.28329993,103.8154767,"['139', '123', '16M', '153', '198']",5
10659,Bt Merah Ctrl,Blk 1003,1.283623333,103.8147283,"['139', '123', '16M', '153', '198']",5
11001,Ghim Moh Rd,Opposite Ghim Moh Terminal,1.311072,103.789159,"['100', '92', '111']",3
11009,Ghim Moh Rd,Ghim Moh Ter,1.311067355,103.7893224,"['100', '92', '111']",3
11019,Jln Bt Merah,Bef Blk 2,1.286796325,103.8056568,"['961', '14', '961M', '123', '196', '147', '153', '197', '198', '855']",10
11021,Queensway,Aft Queenstown NPC HQ,1.289418056,103.8022869,"['61', '961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '51']",12
11029,Queensway,Blk 166/Aft Mei Chin Rd,1.290134722,103.8020211,"['61', '961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '64', '51']",13
11031,Queensway,Opp Queen's Cl,1.291196667,103.800455,"['61', '961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '51']",12
11039,Queensway,Blk 19,1.292457629,103.7999868,"['61', '961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '51']",12
11041,Queensway,Aft C'wealth Dr,1.296245,103.7995233,"['961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '51']",11
11049,Queensway,Opp Blessed Sacrament Ch,1.295460937,103.7995255,"['61', '961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '51']",12
11051,Queensway,Opp Queenstown Polyclinic,1.298721667,103.800298,"['961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '51']",11
11059,Queensway,Queenstown Polyclinic,1.298828928,103.8009739,"['61', '961', '961M', '123', '93', '196', '100', '147', '153', '198', '855', '51']",12
11061,Queensway,Opp Queensway Sec Sch,1.302657778,103.8011869,"['195', '122', '961', '961M', '123', '93', '105', '153', '855', '186', '195A']",11
11069,Queensway,Queensway Sec Sch,1.302368532,103.8016176,"['961', '961M', '123', '93', '105', '153', '855', '186']",8
11071,Queensway,Blk 97,1.306213056,103.8017094,"['961', '961M', '123', '93', '105', '153', '855', '186']",8
11079,Queensway,Opp Blk 95,1.305441389,103.8018525,"['961', '961M', '123', '93', '105', '153', '855', '186']",8
11081,Queensway,Viz Holland,1.308519722,103.8025803,"['961', '961M', '123', '93', '105', '153', '855', '186']",8
