SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
PUNGGOL LRT STATION (PTC),70,PUNGGOL CENTRAL,PUNGGOL LRT STATION (PTC),70 PUNGGOL CENTRAL PUNGGOL LRT STATION (PTC) SINGAPORE 828868,828868,35689.1389922583,43004.9202214088,1.40519470149606,103.902411911915
COVE LRT STATION (PE1),50,PUNGGOL FIELD,COVE LRT STATION (PE1),50 PUNGGOL FIELD COVE LRT STATION (PE1) SINGAPORE 828858,828858,36084.2289814064,42351.133770803,1.39928198837342,103.905961941214
MERIDIAN LRT STATION (PE2),60,PUNGGOL FIELD,MERIDIAN LRT STATION (PE2),60 PUNGGOL FIELD MERIDIAN LRT STATION (PE2) SINGAPORE 828857,828857,36416.793337211,42089.08824775,1.3969120498774,103.908950224489
CORAL EDGE LRT STATION (PE3),70,PUNGGOL FIELD,CORAL EDGE LRT STATION (PE3),70 PUNGGOL FIELD CORAL EDGE LRT STATION (PE3) SINGAPORE 828856,828856,36820.844465619,41757.0644781347,1.39390922863313,103.912580845515
RIVIERA LRT STATION (PE4),40,PUNGGOL EAST,RIVIERA LRT STATION (PE4),40 PUNGGOL EAST RIVIERA LRT STATION (PE4) SINGAPORE 828852,828852,37220.1990320655,41824.5905639976,1.39451978540251,103.916169381157
KADALOOR LRT STATION (PE5),60,PUNGGOL DRIVE,KADALOOR LRT STATION (PE5),60 PUNGGOL DRIVE KADALOOR LRT STATION (PE5) SINGAPORE 828853,828853,37265.3166702027,42376.2865863442,1.39950910636258,103.916574974234
OASIS LRT STATION (PE6),50,PUNGGOL DRIVE,OASIS LRT STATION (PE6),50 PUNGGOL DRIVE OASIS LRT STATION (PE6) SINGAPORE 828854,828854,36837.1174417054,42683.4020451903,1.40228667971123,103.912727352412
DAMAI LRT STATION (PE7),40,PUNGGOL DRIVE,DAMAI LRT STATION (PE7),40 PUNGGOL DRIVE DAMAI LRT STATION (PE7) SINGAPORE 828855,828855,36378.1826799456,43009.3794218432,1.40523483636957,103.908603542566
SAM KEE LRT STATION (PW1),10,SENTUL CRESCENT,SAM KEE LRT STATION (PW1),10 SENTUL CRESCENT SAM KEE LRT STATION (PW1) SINGAPORE 828851,828851,35958.3967099339,43493.4470222741,1.40961268528804,103.904831550608
TECK LEE LRT STATION (PW2),101,PONGGOL SEVENTEENTH AVENUE,TECK LEE LRT STATION (PW2),101 PONGGOL SEVENTEENTH AVENUE TECK LEE LRT STATION (PW2) SINGAPORE 828861,828861,36152.699307289,43842.6720870361,1.4127708937463,103.906577622768
PUNGGOL POINT LRT STATION (PW3),81,PUNGGOL WAY,PUNGGOL POINT LRT STATION (PW3),81 PUNGGOL WAY PUNGGOL POINT LRT STATION (PW3) SINGAPORE 828644,828644,36160.8274716362,44293.556079682,1.41684852031206,103.906650789313
SAMUDERA LRT STATION (PW4),61,PUNGGOL WAY,SAMUDERA LRT STATION (PW4),61 PUNGGOL WAY SAMUDERA LRT STATION (PW4) SINGAPORE 828645,828645,35660.6597858425,44188.8484394047,1.41590172160383,103.902156317163
NIBONG LRT STATION (PW5),41,PUNGGOL WAY,NIBONG LRT STATION (PW5),41 PUNGGOL WAY NIBONG LRT STATION (PW5) SINGAPORE 828862,828862,35458.481398589,43741.3183814995,1.41185447744238,103.900339452055
SUMANG LRT STATION (PW6),31,PUNGGOL WAY,SUMANG LRT STATION (PW6),31 PUNGGOL WAY SUMANG LRT STATION (PW6) SINGAPORE 828863,828863,35260.291393281,43365.130112553,1.40845241943079,103.898558450395
SOO TECK LRT STATION (PW7),21,PUNGGOL WAY,SOO TECK LRT STATION (PW7),21 PUNGGOL WAY SOO TECK LRT STATION (PW7) SINGAPORE 828864,828864,35119.198004419,43019.1258336715,1.40532331860455,103.897290522033
SENGKANG LRT STATION (STC),5,SENGKANG SQUARE,SENGKANG LRT STATION (STC),5 SENGKANG SQUARE SENGKANG LRT STATION (STC) SINGAPORE 545062,545062,34913.5878634388,41502.6996980961,1.39160936379906,103.895442583336
COMPASSVALE LRT STATION (SE1),10,COMPASSVALE STREET,COMPASSVALE LRT STATION (SE1),10 COMPASSVALE STREET COMPASSVALE LRT STATION (SE1) SINGAPORE 545055,545055,35475.5631351992,41821.5781126507,1.39449304450373,103.900492450944
RUMBIA LRT STATION (SE2),70,RIVERVALE DRIVE,RUMBIA LRT STATION (SE2),70 RIVERVALE DRIVE RUMBIA LRT STATION (SE2) SINGAPORE 545054,545054,36085.5523884585,41487.1566344369,1.39146849534132,103.90597359341
BAKAU LRT STATION (SE3),50,RIVERVALE DRIVE,BAKAU LRT STATION (SE3),50 RIVERVALE DRIVE BAKAU LRT STATION (SE3) SINGAPORE 545053,545053,36023.4333449397,41102.9966866206,1.38799431054768,103.905415300171
KANGKAR LRT STATION (SE4),20,RIVERVALE DRIVE,KANGKAR LRT STATION (SE4),20 RIVERVALE DRIVE KANGKAR LRT STATION (SE4) SINGAPORE 545052,545052,35668.448192073,40656.7945456952,1.38395911688913,103.90222537044
RANGGUNG LRT STATION (SE5),30,SENGKANG EAST AVENUE,RANGGUNG LRT STATION (SE5),30 SENGKANG EAST AVENUE RANGGUNG LRT STATION (SE5) SINGAPORE 545046,545046,35108.5940098073,40687.1253354792,1.38423355918277,103.897194667804
CHENG LIM LRT STATION (SW1),5,ANCHORVALE STREET,CHENG LIM LRT STATION (SW1),5 ANCHORVALE STREET CHENG LIM LRT STATION (SW1) SINGAPORE 545047,545047,34730.4628995238,42018.8888330311,1.39627763344324,103.893797181731
FARMWAY LRT STATION (SW2),35,ANCHORVALE STREET,FARMWAY LRT STATION (SW2),35 ANCHORVALE STREET FARMWAY LRT STATION (SW2) SINGAPORE 545048,545048,34230.5208312804,42117.5715403445,1.39717019591821,103.889304824196
KUPANG LRT STATION (SW3),60,FERNVALE STREET,KUPANG LRT STATION (SW3),60 FERNVALE STREET KUPANG LRT STATION (SW3) SINGAPORE 797697,797697,33334.8164311657,42232.8410119303,1.39821283031379,103.881256222255
THANGGAM LRT STATION (SW4),40,FERNVALE ROAD,THANGGAM LRT STATION (SW4),40 FERNVALE ROAD THANGGAM LRT STATION (SW4) SINGAPORE 797699,797699,32709.2687078444,42133.9003911279,1.39731815581938,103.875635154729
FERNVALE LRT STATION (SW5),10,FERNVALE ROAD,FERNVALE LRT STATION (SW5),10 FERNVALE ROAD FERNVALE LRT STATION (SW5) SINGAPORE 797698,797698,32784.2279748796,41533.229409067,1.39188589234766,103.87630862552
LAYAR LRT STATION (SW6),11,SENGKANG WEST AVENUE,LAYAR LRT STATION (SW6),11 SENGKANG WEST AVENUE LAYAR LRT STATION (SW6) SINGAPORE 797700,797700,33198.3233218081,41554.6826597638,1.39207983659997,103.880029600546
