,ServiceNo,Operator,Direction,BusStopCode,RoadName,Description,Latitude,Longitude
0,10,SBST,1,75009,Tampines Ctrl 1,Tampines Int,1.35407552367477,103.94339098473914
1,10,SBST,1,76059,Tampines Ave 5,Opp Our Tampines Hub,1.35296163572491,103.94165154852796
2,10,SBST,1,76069,Tampines Ave 5,Blk 147,1.34875342114003,103.94208629087404
3,10,SBST,1,96289,Simei Ave,Changi General Hosp,1.34005496226354,103.94838106593956
4,10,SBST,1,96109,Simei Ave,Opp Blk 3012,1.33737118239889,103.95067333143491
5,10,SBST,1,85079,Upp Changi Rd,Flextronic,1.33394889968504,103.9501523198666
6,10,SBST,1,85089,Upp Changi Rd,Aft Sungei Bedok,1.33338002405472,103.94880327361744
7,10,SBST,1,85069,Bedok Rd,Bedok Mkt Pl,1.3318,103.94738
8,10,SBST,1,85059,Bedok Rd,Bef Jln Chempaka Kuning,1.32950222197902,103.94906611097686
9,10,SBST,1,85049,Bedok Rd,Opp Man Fatt Lam Tp,1.32671998700111,103.95124872703616
10,10,SBST,1,85039,Bedok Rd,Opp Excelsior Gdns,1.32442497435966,103.9529859426158
11,10,SBST,1,85029,Bedok Rd,Aft Bedok Meth Ch,1.32261805599904,103.95429972202514
12,10,SBST,1,85019,Bedok Rd,Eastwood Ctr,1.321288333018,103.95534472201146
13,10,SBST,1,94079,Upp East Coast Rd,Bedok Camp 2,1.319557,103.955325
14,10,SBST,1,94069,Upp East Coast Rd,Opp Kew Green Condo,1.31809668590525,103.95085659912792
15,10,SBST,1,94059,Upp East Coast Rd,Temasek Sec Sch,1.31707137658578,103.9479809249404
16,10,SBST,1,94049,Upp East Coast Rd,Aft Bedok Sth Ave 3,1.31616443335073,103.94482108127718
17,10,SBST,1,94089,Upp East Coast Rd,Calvary Ably Of God Ch,1.31536333302999,103.94294138900048
18,10,SBST,1,94039,Upp East Coast Rd,Opp The Summit,1.31485363967239,103.94066333773824
19,10,SBST,1,94029,Upp East Coast Rd,Aft Sennet Rd,1.31453305602342,103.93750499997168
20,10,SBST,1,94019,Upp East Coast Rd,Opp Evergreen Ave,1.3142851610342,103.93574953076752
21,10,SBST,1,93099,Upp East Coast Rd,Siglap Sth CC,1.31390444400831,103.93171138898548
22,10,SBST,1,93089,Upp East Coast Rd,Opp Goodwill Ct,1.31295810131062,103.92790605020116
23,10,SBST,1,93079,East Coast Rd,Opp Springvale,1.31250502315071,103.9250247698478
24,10,SBST,1,93069,East Coast Rd,Aft Siglap Rd,1.31168943552207,103.92240015622043
25,10,SBST,1,93059,East Coast Rd,Aft Jln Buloh Perindu,1.31076138897412,103.91930777802244
26,10,SBST,1,92159,East Coast Rd,ST. PATRICK'S SCH,1.309748,103.9166295
27,10,SBST,1,92149,East Coast Rd,St. Patrick's Green,1.30928064742874,103.91434517290192
28,10,SBST,1,92139,East Coast Rd,Opp Caltex Stn,1.30853972762017,103.91062932209373
29,10,SBST,1,92129,East Coast Rd,The Holy Family Ch,1.30686400495083,103.90646134135643
30,10,SBST,1,92119,East Coast Rd,Roxy Sq,1.30444500073,103.90277451423108
