ROAD_NAME,BUILDING,ADDRESS,POSTAL,LATITUDE,LONGITUDE
PASIR RIS CENTRAL,PASIR RIS MRT STATION (EW1),10 PASIR RIS CENTRAL PASIR RIS MRT STATION (EW1) SINGAPORE 519634,519634,1.373043316,103.9492845
TAMPINES CENTRAL 1,TAMPINES MRT STATION (EW2),20 TAMPINES CENTRAL 1 TAMPINES MRT STATION (EW2) SINGAPORE 529538,529538,1.353301676,103.9451446
SIMEI STREET 3,SIMEI MRT STATION (EW3),30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888,529888,1.343197079,103.9533772
NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION (EW4),920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION (EW4) SINGAPORE 467356,467356,1.327187291,103.9463486
NEW UPPER CHANGI ROAD,BEDOK MRT STATION (EW5),315 NEW UPPER CHANGI ROAD BEDOK MRT STATION (EW5) SINGAPORE 467347,467347,1.323979969,103.9299845
SIMS AVENUE EAST,KEMBANGAN MRT STATION (EW6),55 SIMS AVENUE EAST KEMBANGAN MRT STATION (EW6) SINGAPORE 416551,416551,1.321038134,103.9129479
EUNOS CRESCENT,EUNOS MRT STATION (EW7),30 EUNOS CRESCENT EUNOS MRT STATION (EW7) SINGAPORE 409423,409423,1.319783549,103.9032258
PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (EW8),30 PAYA LEBAR ROAD PAYA LEBAR MRT STATION (EW8) SINGAPORE 409006,409006,1.318111492,103.8930608
LORONG 25 GEYLANG,ALJUNIED MRT STATION (EW9),81 LORONG 25 GEYLANG ALJUNIED MRT STATION (EW9) SINGAPORE 388310,388310,1.316432612,103.882906
SIMS AVENUE,KALLANG MRT STATION (EW10),5 SIMS AVENUE KALLANG MRT STATION (EW10) SINGAPORE 387405,387405,1.31148891,103.8713865
KALLANG ROAD,LAVENDER MRT STATION (EW11),50 KALLANG ROAD LAVENDER MRT STATION (EW11) SINGAPORE 208699,208699,1.307377817,103.8627676
VICTORIA STREET,BUGIS MRT STATION (EW12),220 VICTORIA STREET BUGIS MRT STATION (EW12) SINGAPORE 188022,188022,1.300465085,103.8557067
